episode,nearest distance for adult,nearest distance for child,nearest distance for elder,nearest distance for forklift,nearest distance for servicerobot,nearest distance for random_wanderer,reward,safe distance adult,safe distance child,safe distance elder,safe distance forklift,safe distance servicerobot,safe distance random_wanderer,done_reason
1.0,5.7594817751203005,2.046846361042351,1.4856212796530324,1.2687542149264652,3.5151370087888374,1.7566387724153885,0.6233632400384268,0.9,1.68,1.2000000000000002,2.52,1.4,1.5,2.0
1.0,1.617708634063832,3.6168229673174412,3.846372321503297,6.27792475133585,8.344572342226316,2.44975535514539,13.694039999999998,0.6,1.08,1.6500000000000001,2.52,1.4,1.5,2.0
1.0,1.617553423267459,1.221284594160375,0.8248880322454447,5.871447062144236,2.654847322980155,3.6571400952738573,1.8267914872258957,0.9,1.68,1.35,2.52,1.4,1.5,2.0
1.0,2.453529726407362,1.2347461995377618,5.294160002912484,2.894405906450774,1.9459900042418616,1.2960550118586156,8.399494757772214,1.1,1.32,1.2000000000000002,2.52,1.4,1.5,2.0
1.0,9.21757876748391,2.066422186065261,0.7764229564088585,1.005443701583289,10.250426077642377,1.3320759438780982,-16.723911706730014,1.4,1.32,2.0999999999999996,2.52,1.4,1.5,2.0
2,4.518137035449476,4.51465786175498,6.369244709355753,,12.554546368911856,3.834580956589538,8.870240000000003,1.1,0.96,2.0999999999999996,,1.4,1.5,2
1.0,9.455730715960827,7.415840579309611,12.925365516299658,7.379283739339962,7.422277810538152,4.942434190375809,10.561839999999993,0.9,1.32,1.6500000000000001,2.52,1.4,1.5,2.0
2,4.8914687486138995,5.841271973137908,11.820299987998457,8.075891091797056,,4.419204645407667,9.188539999999996,1.1,1.32,0.8999999999999999,2.52,,1.5,2
2.0,1.4506143558077347,4.321987131696066,6.452397047682957,8.013665909722235,1.4592576418920655,2.589380443328544,10.423440000000003,0.6,1.68,1.6500000000000001,2.52,1.4,1.5,2.0
2.0,8.696067766630666,2.557858704277334,3.174027389266254,12.239037258121002,7.469673647038223,5.53523984014043,11.673169999999999,1.1,1.08,1.35,2.52,1.4,1.5,2.0
