World, EntropyRatio, MapSize, OccupancyRatio, NumObs_Cv2, AngleInfo_mean, distance_norm, distance_var, distance_avg
map18,0.006450889601959264,1250.0,0.2984,13,83.07692307692308,0.4,0.0,0.01141
map67,0.005763580145489918,1250.0,0.3768,1,360.0,[],[],None
map64,0.005864696479705648,1250.0,0.3224,5,270.0,0.4,0.0,0.01183
1315f9ad-93de-47d4-9fbe-79d59bcb565d,0.014122650658098805,5000.0,0.5784,8,229.0909090909091,0.4,0.0,0.01341
574d8d36-6515-48d1-9091-06f9839e84fa,0.0133148159385737,5000.0,0.6168,5,216.0,0.2,0.0,0.0065
map65,0.0058782368272083125,1250.0,0.3692,5,144.0,0.2,0.0,0.01363
map78,0.006635771535213155,1250.0,0.24519999999999997,4,90.0,1.0,0.0,0.00724
map63,0.006886222977667991,1250.0,0.21120000000000005,2,180.0,[],[],None
map25,0.006365004197491019,1250.0,0.3284,11,221.53846153846155,0.7,1e-05,0.01154
map40,0.006384964313931037,1250.0,0.25680000000000003,8,160.0,0.5,0.0,0.00933
map68,0.005736009314752326,1250.0,0.388,3,360.0,0.7,3e-05,0.02265
map16,0.006170028505392845,1250.0,0.3296,4,120.0,0.2,0.0,0.00723
map1,0.006920193994464689,1250.0,0.17359999999999998,16,196.36363636363637,0.5,1e-05,0.01266
map85,0.006981227392529144,1250.0,0.2016,4,180.0,0.5,0.0,0.00568
map48,0.0055587635178720556,1250.0,0.4024,2,180.0,[],[],None
map69,0.006146427939016162,1250.0,0.28879999999999995,4,180.0,0.5,0.0,0.00402
map77,0.006400038177022072,1250.0,0.252,2,180.0,[],[],None
map23,0.005977255501794785,1250.0,0.33640000000000003,4,120.0,0.8,0.0,0.0115
map73,0.006330082174765902,1250.0,0.29679999999999995,2,180.0,[],[],None
map1,0.005931754955924904,1250.0,0.3964,5,216.0,0.6,0.0,0.00973
map42,0.006328810636082902,1250.0,0.3024,9,221.53846153846155,0.4,1e-05,0.01119
map4,0.006944496411171597,1250.0,0.1684,11,202.5,0.5,1e-05,0.01144
map98,0.00509328009242516,1250.0,0.46440000000000003,6,308.57142857142856,0.5,1e-05,0.01347
map74,0.005541888145167915,1250.0,0.41879999999999995,7,154.28571428571428,0.4,4e-05,0.03279
map34,0.006593243200403561,1250.0,0.26160000000000005,6,180.0,0.5,0.0,0.00816
map89,0.00661371611338592,1250.0,0.2572,2,180.0,[],[],None
map72,0.0066163243322469615,1250.0,0.23839999999999995,4,90.0,0.5,0.0,0.00894
map55,0.006298266676580816,1250.0,0.31200000000000006,4,90.0,0.5,0.0,0.00661
map22,0.0057632466453308,1250.0,0.3648,3,240.0,1.0,0.0,0.00835
map85,0.005013196610646705,1250.0,0.49160000000000004,5,180.0,0.4,1e-05,0.01185
522a6709-dbe9-4133-b4fe-b4cbd76954b7,0.0145111277062137,5000.0,0.5626,8,313.04347826086956,0.5,0.0,0.01029
map32,0.006009086800646052,1250.0,0.39759999999999995,11,270.0,0.5,0.0,0.01436
map205,0.028012908166060686,5100.5,0.44926967944319185,11,307.3170731707317,0.4,0.0,0.01115
map56,0.00633516386743592,1250.0,0.2852,3,180.0,1.0,0.0,0.00994
map54,0.0056728754961681924,1250.0,0.3944,3,120.0,1.0,0.0,0.00876
