#{"t_start": 1614212011.7333984, "env_id": null}
r,l,t,done_reason,is_success
15.6643,226,26719.162235,2,1
-21.32586,274,26721.957348,1,0
14.22345,392,26725.962354,2,1
0.30906,651,26732.543274,0,0
-3.90375,651,26739.117481,0,0
-17.76999,548,26744.667399,1,0
16.26614,247,26747.192308,2,1
-20.09348,161,26748.882567,1,0
15.52506,167,26750.603271,2,1
2.89159,651,26757.192559,0,0
15.6527,288,26760.147757,2,1
14.86326,218,26762.382271,2,1
-0.45153,651,26768.953814,0,0
15.6094,416,26773.193671,2,1
14.98654,106,26774.312641,2,1
15.45379,328,26777.659202,2,1
-0.29794,651,26784.253947,0,0
0.66638,651,26790.833943,0,0
-20.06363,138,26792.27216,1,0
15.22594,278,26795.112011,2,1
15.96517,344,26798.632381,2,1
15.62913,229,26800.99368,2,1
15.54075,238,26803.427341,2,1
-2.14322,651,26810.012473,0,0
15.6593,427,26814.343175,2,1
15.18657,355,26817.95245,2,1
0.63542,651,26824.532479,0,0
0.06673,651,26831.097527,0,0
0.46015,651,26837.699956,0,0
14.23277,554,26843.374589,2,1
15.52849,185,28389.088894,2,1
15.6028,272,28391.858873,2,1
15.29519,183,28393.738826,2,1
16.35743,335,28397.139231,2,1
14.70452,227,28399.473892,2,1
15.22585,143,28400.963837,2,1
-20.48947,191,28402.942089,1,0
14.47481,361,28406.62336,2,1
16.77591,464,28411.328393,2,1
15.6319,258,28413.973278,2,1
16.16967,543,28419.473416,2,1
15.34293,210,28421.623338,2,1
15.37515,117,28422.86329,2,1
15.6332,306,28425.978377,2,1
15.08189,70,28426.728489,2,1
15.75652,266,28429.44841,2,1
15.52278,270,28432.219803,2,1
15.753,270,28434.978895,2,1
15.68861,369,28438.744415,2,1
15.87537,284,28441.693621,2,1
15.70734,274,28444.5036,2,1
15.21452,278,28447.348595,2,1
15.12669,81,28448.204752,2,1
15.36327,172,28450.000231,2,1
15.65858,399,28454.065294,2,1
15.29443,139,28455.509874,2,1
15.4193,165,28457.209991,2,1
15.41915,404,28461.343674,2,1
16.90691,502,28466.423893,2,1
15.30163,143,28467.908871,2,1
16.0812,349,28471.568916,2,1
-20.56847,17,28471.783748,1,0
15.36584,163,28473.468914,2,1
15.18678,124,28474.758783,2,1
15.4701,236,28477.183693,2,1
15.77632,333,28480.595115,2,1
15.34905,250,28483.151355,2,1
15.86952,279,28486.006462,2,1
15.3586,164,28487.706353,2,1
15.51023,297,28490.746408,2,1
15.47285,196,30034.480602,2,1
15.29493,142,30035.959821,2,1
15.71824,297,30038.995367,2,1
15.26469,161,30040.659878,2,1
-20.2075,44,30041.164686,1,0
11.67067,382,30045.054831,2,1
15.14159,284,30047.954791,2,1
10.01704,231,30050.336032,2,1
15.13972,63,30051.015677,2,1
15.82799,386,30054.940968,2,1
-19.12131,391,30058.930919,1,0
15.70948,295,30061.945853,2,1
15.10572,42,30062.421168,2,1
15.70327,390,30066.390973,2,1
15.63385,234,30068.806356,2,1
15.16912,105,30069.915844,2,1
16.0745,405,30074.045957,2,1
15.44404,184,30075.941752,2,1
15.69393,310,30079.133992,2,1
15.66741,325,30082.439156,2,1
15.5188,203,30084.528911,2,1
15.83288,319,30087.857765,2,1
15.92939,368,30091.627779,2,1
-20.26158,79,30092.497725,1,0
15.30231,160,30094.153522,2,1
15.51375,270,30096.932772,2,1
-20.22236,82,30097.808283,1,0
-20.02603,323,30101.102783,1,0
15.33541,153,30102.687685,2,1
3.28308,651,30109.294625,0,0
15.70402,317,30112.539592,2,1
-20.8086,46,30113.049467,1,0
-20.20576,134,30114.480386,1,0
-23.27251,361,30118.165514,1,0
15.2583,127,30119.56547,2,1
